Value,SIBERIA_2024_ESA_CALU_2024_41XPA_M_R,SIBERIA_2024_ESRI_Annual_LULC_2024_41XPA_M_R,SIBERIA_2024_GLC_FCS30D_2022_41XPA_M_R,SIBERIA_2024_GSW_Yearly_2021_41XPA_M_R,SIBERIA_2024_GWL_FCS30D_2022_41XPA_M_R,SIBERIA_2024_WorldCover_2021_41XPA_M_R
412,Water,Water,Water,NULL,Water,NULL
413,Water,Water,Water,Non_Water,Water,NULL
414,Water,Water,Water,Water,Water,NULL
415,Water,Permanent_ice_and_snow,Water,Water,Water,NULL
416,Permanent_ice_and_snow,Water,Water,NULL,Water,NULL
417,Forest,NULL,Shrubland,NULL,Non_Wetland,NULL
418,Forest,NULL,Grassland,NULL,Non_Wetland,NULL
419,Forest,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL
420,Forest,NULL,Bareland,NULL,Non_Wetland,NULL
421,Forest,Wetland,Shrubland,NULL,Non_Wetland,NULL
422,Forest,Wetland,Grassland,NULL,Non_Wetland,NULL
423,Forest,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL
424,Forest,Wetland,Bareland,NULL,Non_Wetland,NULL
425,Forest,Wetland,Bareland,Non_Water,Non_Wetland,NULL
426,Forest,Wetland,Bareland,Water,Non_Wetland,NULL
427,Forest,Water,Water,NULL,Water,NULL
428,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
429,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
430,Forest,Forest,Bareland,Water,Non_Wetland,NULL
431,Forest,Forest,Water,Water,Water,NULL
