Value,SIBERIA_2024_ESRI_Annual_LULC_2024_44VLL_M_R,SIBERIA_2024_GLC_FCS30D_2022_44VLL_M_R,SIBERIA_2024_GSW_Yearly_2021_44VLL_M_R,SIBERIA_2024_GWL_FCS30D_2022_44VLL_M_R,SIBERIA_2024_WorldCover_2021_44VLL_M_R
504,Forest,Wetland,NULL,Wetland,Forest
505,Forest,Wetland,Non_Water,Wetland,NULL
506,Forest,Wetland,Non_Water,Wetland,Grassland
507,Forest,Wetland,Non_Water,Wetland,Wetland
508,Forest,Wetland,Non_Water,Wetland,Water
509,Forest,Wetland,Non_Water,Wetland,Forest
510,Forest,Wetland,Water,Wetland,NULL
511,Forest,Wetland,Water,Wetland,Grassland
512,Forest,Wetland,Water,Wetland,Wetland
513,Forest,Wetland,Water,Wetland,Water
514,Forest,Wetland,Water,Wetland,Forest
515,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
516,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
517,Forest,Bareland,NULL,Non_Wetland,NULL
518,Forest,Bareland,NULL,Non_Wetland,Grassland
519,Forest,Bareland,NULL,Non_Wetland,Wetland
520,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
521,Forest,Bareland,NULL,Non_Wetland,Bareland
522,Forest,Bareland,NULL,Non_Wetland,Built-up
523,Forest,Bareland,NULL,Non_Wetland,Water
524,Forest,Bareland,NULL,Non_Wetland,Forest
525,Forest,Bareland,Non_Water,Non_Wetland,Grassland
526,Forest,Bareland,Non_Water,Non_Wetland,Forest
527,Forest,Bareland,Water,Non_Wetland,Grassland
528,Forest,Bareland,Water,Non_Wetland,Forest
529,Forest,Built-up,NULL,Non_Wetland,Grassland
530,Forest,Built-up,NULL,Non_Wetland,Cropland
531,Forest,Built-up,NULL,Non_Wetland,Wetland
532,Forest,Built-up,NULL,Non_Wetland,Lichens_and_Mosses
533,Forest,Built-up,NULL,Non_Wetland,Bareland
534,Forest,Built-up,NULL,Non_Wetland,Built-up
535,Forest,Built-up,NULL,Non_Wetland,Forest
536,Forest,Built-up,Non_Water,Non_Wetland,Grassland
537,Forest,Water,NULL,Water,Wetland
538,Forest,Water,NULL,Water,Water
539,Forest,Water,NULL,Water,Forest
540,Forest,Water,Non_Water,Water,Grassland
541,Forest,Water,Non_Water,Water,Water
542,Forest,Water,Non_Water,Water,Forest
543,Forest,Water,Water,Water,Grassland
544,Forest,Water,Water,Water,Wetland
545,Forest,Water,Water,Water,Water
546,Forest,Water,Water,Water,Forest
547,Forest,Forest,NULL,Non_Wetland,NULL
548,Forest,Forest,NULL,Non_Wetland,Grassland
549,Forest,Forest,NULL,Non_Wetland,Cropland
550,Forest,Forest,NULL,Non_Wetland,Wetland
551,Forest,Forest,NULL,Non_Wetland,Bareland
552,Forest,Forest,NULL,Non_Wetland,Built-up
553,Forest,Forest,NULL,Non_Wetland,Water
554,Forest,Forest,NULL,Non_Wetland,Forest
555,Forest,Forest,Non_Water,Non_Wetland,NULL
556,Forest,Forest,Non_Water,Non_Wetland,Grassland
557,Forest,Forest,Non_Water,Non_Wetland,Wetland
558,Forest,Forest,Non_Water,Non_Wetland,Water
559,Forest,Forest,Non_Water,Non_Wetland,Forest
560,Forest,Forest,Water,Non_Wetland,NULL
561,Forest,Forest,Water,Non_Wetland,Grassland
562,Forest,Forest,Water,Non_Wetland,Wetland
563,Forest,Forest,Water,Non_Wetland,Water
564,Forest,Forest,Water,Non_Wetland,Forest
