Value,SIBERIA_2024_ESRI_Annual_LULC_2024_43VDG_M_R,SIBERIA_2024_GLC_FCS30D_2022_43VDG_M_R,SIBERIA_2024_GSW_Yearly_2021_43VDG_M_R,SIBERIA_2024_GWL_FCS30D_2022_43VDG_M_R,SIBERIA_2024_WorldCover_2021_43VDG_M_R
494,Water,Lichens_and_Mosses,Water,Non_Wetland,Water
495,Water,Bareland,NULL,Non_Wetland,NULL
496,Water,Bareland,NULL,Non_Wetland,Grassland
497,Water,Bareland,NULL,Non_Wetland,Wetland
498,Water,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
499,Water,Bareland,NULL,Non_Wetland,Bareland
500,Water,Bareland,NULL,Non_Wetland,Built-up
501,Water,Bareland,NULL,Non_Wetland,Water
502,Water,Bareland,NULL,Non_Wetland,Forest
503,Water,Bareland,Non_Water,Non_Wetland,Grassland
504,Water,Bareland,Non_Water,Non_Wetland,Wetland
505,Water,Bareland,Non_Water,Non_Wetland,Lichens_and_Mosses
506,Water,Bareland,Non_Water,Non_Wetland,Bareland
507,Water,Bareland,Non_Water,Non_Wetland,Water
508,Water,Bareland,Non_Water,Non_Wetland,Forest
509,Water,Bareland,Water,Non_Wetland,Grassland
510,Water,Bareland,Water,Non_Wetland,Wetland
511,Water,Bareland,Water,Non_Wetland,Lichens_and_Mosses
512,Water,Bareland,Water,Non_Wetland,Bareland
513,Water,Bareland,Water,Non_Wetland,Water
514,Water,Bareland,Water,Non_Wetland,Forest
515,Water,Built-up,NULL,Non_Wetland,Grassland
516,Water,Built-up,NULL,Non_Wetland,Bareland
517,Water,Built-up,NULL,Non_Wetland,Built-up
518,Water,Built-up,NULL,Non_Wetland,Water
519,Water,Built-up,NULL,Non_Wetland,Forest
520,Water,Built-up,Non_Water,Non_Wetland,Bareland
521,Water,Built-up,Non_Water,Non_Wetland,Built-up
522,Water,Built-up,Water,Non_Wetland,Grassland
523,Water,Built-up,Water,Non_Wetland,Bareland
524,Water,Built-up,Water,Non_Wetland,Water
525,Water,Built-up,Water,Non_Wetland,Forest
526,Water,Water,NULL,Water,NULL
527,Water,Water,NULL,Water,Grassland
528,Water,Water,NULL,Water,Wetland
529,Water,Water,NULL,Water,Bareland
530,Water,Water,NULL,Water,Built-up
531,Water,Water,NULL,Water,Water
532,Water,Water,NULL,Water,Forest
533,Water,Water,Non_Water,Water,Grassland
534,Water,Water,Non_Water,Water,Wetland
535,Water,Water,Non_Water,Water,Bareland
536,Water,Water,Non_Water,Water,Water
537,Water,Water,Non_Water,Water,Forest
538,Water,Water,Water,Water,NULL
539,Water,Water,Water,Water,Grassland
540,Water,Water,Water,Water,Wetland
541,Water,Water,Water,Water,Lichens_and_Mosses
542,Water,Water,Water,Water,Bareland
543,Water,Water,Water,Water,Water
544,Water,Water,Water,Water,Forest
545,Water,Forest,NULL,Non_Wetland,NULL
546,Water,Forest,NULL,Non_Wetland,Grassland
547,Water,Forest,NULL,Non_Wetland,Wetland
548,Water,Forest,NULL,Non_Wetland,Lichens_and_Mosses
549,Water,Forest,NULL,Non_Wetland,Bareland
550,Water,Forest,NULL,Non_Wetland,Water
551,Water,Forest,NULL,Non_Wetland,Forest
552,Water,Forest,Non_Water,Non_Wetland,Grassland
553,Water,Forest,Non_Water,Non_Wetland,Wetland
554,Water,Forest,Non_Water,Non_Wetland,Bareland
555,Water,Forest,Non_Water,Non_Wetland,Water
556,Water,Forest,Non_Water,Non_Wetland,Forest
557,Water,Forest,Water,Non_Wetland,NULL
558,Water,Forest,Water,Non_Wetland,Grassland
559,Water,Forest,Water,Non_Wetland,Wetland
560,Water,Forest,Water,Non_Wetland,Water
561,Water,Forest,Water,Non_Wetland,Forest
562,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Grassland
563,Permanent_ice_and_snow,NULL,NULL,Non_Wetland,Forest
564,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Grassland
565,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Bareland
566,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Built-up
567,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Water
568,Permanent_ice_and_snow,Shrubland,NULL,Non_Wetland,Forest
569,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Grassland
570,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Bareland
571,Permanent_ice_and_snow,Grassland,NULL,Non_Wetland,Forest
572,Permanent_ice_and_snow,Cropland,NULL,Non_Wetland,Bareland
573,Permanent_ice_and_snow,Wetland,NULL,Wetland,NULL
574,Permanent_ice_and_snow,Wetland,NULL,Wetland,Grassland
575,Permanent_ice_and_snow,Wetland,NULL,Wetland,Wetland
576,Permanent_ice_and_snow,Wetland,NULL,Wetland,Bareland
577,Permanent_ice_and_snow,Wetland,NULL,Wetland,Water
578,Permanent_ice_and_snow,Wetland,NULL,Wetland,Forest
579,Permanent_ice_and_snow,Wetland,Water,Wetland,Water
580,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,NULL
581,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Grassland
582,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Wetland
583,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Bareland
584,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Built-up
585,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Water
586,Permanent_ice_and_snow,Bareland,NULL,Non_Wetland,Forest
587,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Grassland
588,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Bareland
589,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Built-up
590,Permanent_ice_and_snow,Bareland,Non_Water,Non_Wetland,Forest
591,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Bareland
592,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Built-up
593,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Water
594,Permanent_ice_and_snow,Bareland,Water,Non_Wetland,Forest
595,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Grassland
596,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Bareland
597,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Built-up
598,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Water
599,Permanent_ice_and_snow,Built-up,NULL,Non_Wetland,Forest
600,Permanent_ice_and_snow,Built-up,Non_Water,Non_Wetland,Forest
601,Permanent_ice_and_snow,Water,NULL,Water,Forest
602,Permanent_ice_and_snow,Water,Water,Water,Water
603,Permanent_ice_and_snow,Water,Water,Water,Forest
604,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,NULL
605,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Grassland
606,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Wetland
607,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Bareland
608,Permanent_ice_and_snow,Forest,NULL,Non_Wetland,Forest
609,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Grassland
610,Permanent_ice_and_snow,Forest,Non_Water,Non_Wetland,Forest
611,Permanent_ice_and_snow,Forest,Water,Non_Wetland,Bareland
612,Forest,NULL,NULL,Non_Wetland,NULL
613,Forest,NULL,NULL,Non_Wetland,Grassland
614,Forest,NULL,NULL,Non_Wetland,Wetland
615,Forest,NULL,NULL,Non_Wetland,Bareland
616,Forest,NULL,NULL,Non_Wetland,Built-up
617,Forest,NULL,NULL,Non_Wetland,Water
618,Forest,NULL,NULL,Non_Wetland,Forest
619,Forest,NULL,Non_Water,Non_Wetland,NULL
620,Forest,NULL,Non_Water,Non_Wetland,Grassland
621,Forest,NULL,Non_Water,Non_Wetland,Wetland
622,Forest,NULL,Non_Water,Non_Wetland,Water
623,Forest,NULL,Non_Water,Non_Wetland,Forest
624,Forest,NULL,Water,Non_Wetland,NULL
625,Forest,NULL,Water,Non_Wetland,Grassland
626,Forest,NULL,Water,Non_Wetland,Wetland
627,Forest,NULL,Water,Non_Wetland,Water
628,Forest,NULL,Water,Non_Wetland,Forest
629,Forest,Shrubland,NULL,Non_Wetland,NULL
630,Forest,Shrubland,NULL,Non_Wetland,Grassland
631,Forest,Shrubland,NULL,Non_Wetland,Wetland
632,Forest,Shrubland,NULL,Non_Wetland,Lichens_and_Mosses
633,Forest,Shrubland,NULL,Non_Wetland,Bareland
634,Forest,Shrubland,NULL,Non_Wetland,Built-up
635,Forest,Shrubland,NULL,Non_Wetland,Water
636,Forest,Shrubland,NULL,Non_Wetland,Forest
637,Forest,Shrubland,Non_Water,Non_Wetland,Grassland
638,Forest,Shrubland,Non_Water,Non_Wetland,Built-up
639,Forest,Shrubland,Non_Water,Non_Wetland,Forest
640,Forest,Shrubland,Water,Non_Wetland,Grassland
641,Forest,Shrubland,Water,Non_Wetland,Forest
642,Forest,Grassland,NULL,Non_Wetland,NULL
643,Forest,Grassland,NULL,Non_Wetland,Grassland
644,Forest,Grassland,NULL,Non_Wetland,Wetland
645,Forest,Grassland,NULL,Non_Wetland,Lichens_and_Mosses
646,Forest,Grassland,NULL,Non_Wetland,Built-up
647,Forest,Grassland,NULL,Non_Wetland,Forest
648,Forest,Grassland,Non_Water,Non_Wetland,Grassland
649,Forest,Grassland,Non_Water,Non_Wetland,Forest
650,Forest,Grassland,Water,Non_Wetland,Forest
651,Forest,Cropland,NULL,Non_Wetland,Grassland
652,Forest,Cropland,NULL,Non_Wetland,Bareland
653,Forest,Cropland,NULL,Non_Wetland,Forest
654,Forest,Cropland,Non_Water,Non_Wetland,Forest
655,Forest,Cropland,Water,Non_Wetland,Forest
656,Forest,Wetland,NULL,Wetland,NULL
657,Forest,Wetland,NULL,Wetland,Grassland
658,Forest,Wetland,NULL,Wetland,Wetland
659,Forest,Wetland,NULL,Wetland,Bareland
660,Forest,Wetland,NULL,Wetland,Built-up
661,Forest,Wetland,NULL,Wetland,Water
662,Forest,Wetland,NULL,Wetland,Forest
663,Forest,Wetland,Non_Water,Wetland,Grassland
664,Forest,Wetland,Non_Water,Wetland,Wetland
665,Forest,Wetland,Non_Water,Wetland,Water
666,Forest,Wetland,Non_Water,Wetland,Forest
667,Forest,Wetland,Water,Wetland,NULL
668,Forest,Wetland,Water,Wetland,Grassland
669,Forest,Wetland,Water,Wetland,Wetland
670,Forest,Wetland,Water,Wetland,Water
671,Forest,Wetland,Water,Wetland,Forest
672,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Grassland
673,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Wetland
674,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Lichens_and_Mosses
675,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Bareland
676,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Built-up
677,Forest,Lichens_and_Mosses,NULL,Non_Wetland,Forest
678,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Grassland
679,Forest,Lichens_and_Mosses,Non_Water,Non_Wetland,Forest
680,Forest,Bareland,NULL,Non_Wetland,NULL
681,Forest,Bareland,NULL,Non_Wetland,Grassland
682,Forest,Bareland,NULL,Non_Wetland,Cropland
683,Forest,Bareland,NULL,Non_Wetland,Wetland
684,Forest,Bareland,NULL,Non_Wetland,Lichens_and_Mosses
685,Forest,Bareland,NULL,Non_Wetland,Bareland
686,Forest,Bareland,NULL,Non_Wetland,Built-up
687,Forest,Bareland,NULL,Non_Wetland,Water
688,Forest,Bareland,NULL,Non_Wetland,Forest
689,Forest,Bareland,Non_Water,Non_Wetland,Grassland
690,Forest,Bareland,Non_Water,Non_Wetland,Wetland
691,Forest,Bareland,Non_Water,Non_Wetland,Bareland
692,Forest,Bareland,Non_Water,Non_Wetland,Built-up
693,Forest,Bareland,Non_Water,Non_Wetland,Water
694,Forest,Bareland,Non_Water,Non_Wetland,Forest
695,Forest,Bareland,Water,Non_Wetland,Grassland
696,Forest,Bareland,Water,Non_Wetland,Wetland
697,Forest,Bareland,Water,Non_Wetland,Bareland
698,Forest,Bareland,Water,Non_Wetland,Built-up
699,Forest,Bareland,Water,Non_Wetland,Water
700,Forest,Bareland,Water,Non_Wetland,Forest
701,Forest,Built-up,NULL,Non_Wetland,NULL
702,Forest,Built-up,NULL,Non_Wetland,Grassland
703,Forest,Built-up,NULL,Non_Wetland,Wetland
704,Forest,Built-up,NULL,Non_Wetland,Bareland
705,Forest,Built-up,NULL,Non_Wetland,Built-up
706,Forest,Built-up,NULL,Non_Wetland,Water
707,Forest,Built-up,NULL,Non_Wetland,Forest
708,Forest,Built-up,Non_Water,Non_Wetland,Grassland
709,Forest,Built-up,Non_Water,Non_Wetland,Built-up
710,Forest,Built-up,Non_Water,Non_Wetland,Forest
711,Forest,Built-up,Water,Non_Wetland,Built-up
712,Forest,Water,NULL,Water,Grassland
713,Forest,Water,NULL,Water,Wetland
714,Forest,Water,NULL,Water,Bareland
715,Forest,Water,NULL,Water,Water
716,Forest,Water,NULL,Water,Forest
717,Forest,Water,Non_Water,Water,Grassland
718,Forest,Water,Non_Water,Water,Water
719,Forest,Water,Non_Water,Water,Forest
720,Forest,Water,Water,Water,Grassland
721,Forest,Water,Water,Water,Wetland
722,Forest,Water,Water,Water,Water
723,Forest,Water,Water,Water,Forest
724,Forest,Forest,NULL,Non_Wetland,NULL
725,Forest,Forest,NULL,Non_Wetland,Grassland
726,Forest,Forest,NULL,Non_Wetland,Wetland
727,Forest,Forest,NULL,Non_Wetland,Lichens_and_Mosses
728,Forest,Forest,NULL,Non_Wetland,Bareland
729,Forest,Forest,NULL,Non_Wetland,Built-up
730,Forest,Forest,NULL,Non_Wetland,Water
731,Forest,Forest,NULL,Non_Wetland,Forest
732,Forest,Forest,Non_Water,Non_Wetland,NULL
733,Forest,Forest,Non_Water,Non_Wetland,Grassland
734,Forest,Forest,Non_Water,Non_Wetland,Wetland
735,Forest,Forest,Non_Water,Non_Wetland,Water
736,Forest,Forest,Non_Water,Non_Wetland,Forest
737,Forest,Forest,Water,Non_Wetland,NULL
738,Forest,Forest,Water,Non_Wetland,Grassland
739,Forest,Forest,Water,Non_Wetland,Wetland
740,Forest,Forest,Water,Non_Wetland,Lichens_and_Mosses
741,Forest,Forest,Water,Non_Wetland,Built-up
742,Forest,Forest,Water,Non_Wetland,Water
743,Forest,Forest,Water,Non_Wetland,Forest
